ReservationID,HotelID,CustomerID,RoomID,ResNumAdult,ResNumChild,ResRequest,ResCheckIn,ResCheckOut, ResDayRate , ResDeposite , ResFoodCharge , ResPetCharge , ResLateCharge , ResDamageCharge 
,5,324,156,5,0,none,8/1/2022 0:23,8/2/2022 1:12,677.39,254.56,0,0,0,0
,4,468,57,1,0,Suspendisse potenti. In eleifend quam a odio.,8/1/2022 1:06,8/11/2022 4:45,959.26,496.9,182.38,0,0,0
,4,305,207,1,1,Donec dapibus. Duis at velit eu est congue elementum.,8/1/2022 1:10,8/1/2022 13:11,1412.05,231.09,0,0,0,0
,5,301,44,6,0,none,8/1/2022 1:18,8/1/2022 18:15,845.13,222.24,153.1,0,0,0
,7,124,16,6,0,none,8/1/2022 1:36,8/2/2022 15:59,407.63,478.53,0,475.61,130.15,0
,7,62,194,6,0,Nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.,8/1/2022 2:23,8/5/2022 16:08,347.38,422.04,0,0,0,0
,7,84,5,3,0,none,8/1/2022 2:25,8/7/2022 0:32,513.97,240.17,433.66,208.04,0,0
,4,49,114,7,0,none,8/1/2022 5:12,8/13/2022 10:42,679.02,469.19,509.33,0,0,0
,2,309,115,6,0,none,8/1/2022 5:48,8/13/2022 5:21,1116.52,325.06,0,334.62,0,0
,5,231,25,4,5,none,8/1/2022 6:42,8/7/2022 10:42,647.83,348.39,0,0,0,0
,6,282,4,4,0,none,8/1/2022 9:25,8/5/2022 20:57,456.71,333.99,464.34,0,0,0
,6,256,63,7,0,none,8/1/2022 13:25,8/14/2022 1:30,1149.68,236.45,294.79,0,0,0
,1,546,17,7,3,none,8/1/2022 14:10,8/1/2022 22:03,1007.79,470.91,0,0,0,0
,1,593,124,7,0,In hac habitasse platea dictumst.,8/1/2022 14:14,8/10/2022 17:14,194.47,269.55,0,0,0,0
,5,389,37,7,0,Morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl. Nunc rhoncus dui vel sem.,8/1/2022 14:42,8/4/2022 4:38,557.16,319.9,0,0,0,314.87
,7,484,137,4,0,none,8/1/2022 15:11,8/5/2022 3:44,318,489.22,0,0,0,0
,2,633,84,4,2,none,8/1/2022 15:25,8/12/2022 6:24,729.31,367.23,0,0,0,0
,5,284,63,4,0,Nunc purus.,8/1/2022 16:08,8/5/2022 23:08,1289.25,336.11,0,0,0,0
,3,191,40,3,0,none,8/1/2022 16:39,8/5/2022 10:58,236.96,471.11,0,0,0,0
,4,553,210,4,0,none,8/1/2022 21:15,8/3/2022 15:41,1185.75,477.9,0,0,0,0
,8,532,225,6,2,none,8/2/2022 0:25,8/14/2022 16:42,309,437.69,0,0,146.36,0
,3,70,152,1,0,none,8/2/2022 3:32,8/14/2022 11:42,902.91,374.34,0,0,122,0
,2,282,122,1,5,none,8/2/2022 5:09,8/8/2022 11:56,1261.47,466.15,0,430.34,149.65,0
,1,509,89,5,0,Morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl. Nunc rhoncus dui vel sem.,8/2/2022 5:29,8/3/2022 18:34,1273.67,258.49,47.64,0,0,0
,5,223,244,5,0,none,8/2/2022 7:01,8/7/2022 10:31,1163.71,444.1,0,0,0,0
,3,45,71,7,1,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,8/2/2022 7:03,8/12/2022 3:25,1359.86,379.36,0,0,0,0
,8,326,40,2,0,Maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,8/2/2022 8:28,8/14/2022 19:15,161.34,410.28,0,0,0,0
,4,282,117,5,0,none,8/2/2022 9:26,8/11/2022 9:24,430.22,208.3,0,0,0,0
,8,660,245,3,0,Nunc rhoncus dui vel sem. Sed sagittis. Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci.,8/2/2022 10:06,8/14/2022 15:29,1459.02,434.08,0,0,0,0
,1,310,177,4,0,none,8/2/2022 10:31,8/10/2022 13:17,1071.73,379.01,0,0,0,0
,5,40,122,6,0,none,8/2/2022 15:31,8/10/2022 15:17,480.88,267.92,0,0,0,0
,8,184,223,5,0,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,8/2/2022 16:14,8/14/2022 6:11,678.59,258.42,172.57,0,0,0
,4,585,123,5,0,none,8/2/2022 17:00,8/11/2022 1:53,596.1,382.17,77.21,0,0,0
,2,23,19,1,0,Duis ac nibh.,8/2/2022 17:22,8/4/2022 17:41,1524.73,429.44,605.8,0,0,0
,2,612,72,4,0,Maecenas pulvinar lobortis est.,8/2/2022 22:33,8/4/2022 23:37,1547.34,279.02,330.19,0,0,0
,1,530,19,4,0,none,8/2/2022 22:57,8/7/2022 6:58,937.36,467.3,0,0,0,0
,6,199,3,3,0,none,8/2/2022 23:08,8/5/2022 9:02,851.18,465.47,0,0,0,0
,2,492,11,7,0,Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue.,8/3/2022 1:01,8/3/2022 1:22,1342.03,314.69,0,393.91,0,0
,4,378,139,7,0,none,8/3/2022 1:38,8/14/2022 17:21,480.87,389.35,543.81,0,113.63,0
,1,383,107,7,0,none,8/3/2022 2:56,8/11/2022 18:18,1328.41,233.82,0,451.97,0,327.14
,3,204,89,7,0,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,8/3/2022 3:00,8/8/2022 19:07,1336.16,254.17,0,0,0,0
,6,394,21,7,0,none,8/3/2022 4:40,8/12/2022 5:55,981.68,430.54,0,0,101.95,0
,3,599,44,5,0,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,8/3/2022 4:41,8/13/2022 4:23,762.08,242.39,0,0,0,0
,6,360,32,2,0,none,8/3/2022 5:06,8/8/2022 21:20,1229.13,412.25,0,0,0,0
,7,179,129,4,2,none,8/3/2022 5:23,8/13/2022 6:21,285.06,221.48,332,225.19,0,0
,1,385,62,4,0,Suspendisse potenti.,8/3/2022 8:20,8/8/2022 8:34,559.97,451.47,0,375.02,81.1,1233.05
,4,371,158,2,0,none,8/3/2022 10:23,8/9/2022 1:35,561.22,336.24,618.09,0,0,0
,2,584,80,7,3,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,8/3/2022 10:47,8/15/2022 12:37,1379.77,498.25,0,0,0,591.22
,8,402,149,6,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo sollicitudin ut suscipit a feugiat et eros. Vestibulum ac est lacinia nisi venenatis tristique.,8/3/2022 11:50,8/11/2022 3:35,1128.26,244.57,31.51,0,0,0
,3,666,140,5,0,none,8/3/2022 17:17,8/6/2022 6:21,727.15,283.83,0,0,0,0
,5,215,195,5,0,Aenean lectus.,8/3/2022 19:10,8/4/2022 4:07,601.02,201.14,528.65,0,0,0
,7,299,19,6,0,Mauris ullamcorper purus sit amet nulla. Quisque arcu libero rutrum ac lobortis vel dapibus at diam.,8/3/2022 20:53,8/14/2022 0:30,490.17,266.77,0,0,0,0
,6,253,8,6,0,Curabitur in libero ut massa volutpat convallis.,8/3/2022 21:25,8/7/2022 19:27,216.31,463.66,0,0,0,0
,7,529,6,5,4,none,8/3/2022 22:34,8/7/2022 9:36,447.37,497.15,0,0,148.61,0
,8,375,118,1,0,none,8/4/2022 2:00,8/10/2022 15:10,1249.07,485.78,215.42,0,0,0
,6,613,45,1,0,none,8/4/2022 2:16,8/12/2022 13:20,512.01,214.58,0,0,0,0
,7,417,118,3,0,In blandit ultrices enim.,8/4/2022 2:26,8/16/2022 13:28,339.54,245.6,0,0,0,0
,5,551,65,1,0,none,8/4/2022 2:40,8/10/2022 2:04,195.66,482.75,0,0,0,1054.57
,1,145,127,5,0,none,8/4/2022 2:44,8/9/2022 6:27,550.23,398.66,311.15,0,0,0
,6,215,58,1,0,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus auctor sed tristique in tempus sit amet sem.,8/4/2022 3:26,8/15/2022 14:35,702.34,420.39,72.76,414.98,0,0
,4,442,122,4,0,none,8/4/2022 3:36,8/16/2022 5:35,1129.88,220.87,0,0,0,0
,8,266,12,4,0,none,8/4/2022 5:23,8/8/2022 2:51,1395.08,264.84,494.36,0,0,0
,5,4,230,7,2,none,8/4/2022 5:56,8/6/2022 0:54,1373.58,490.87,0,0,0,374.4
,7,50,205,7,0,Mauris ullamcorper purus sit amet nulla. Quisque arcu libero rutrum ac lobortis vel dapibus at diam. Nam tristique tortor eu pede.,8/4/2022 7:49,8/15/2022 18:00,336.26,481.79,0,0,0,0
,8,93,144,4,0,none,8/4/2022 8:04,8/8/2022 0:27,318.22,462.15,0,0,0,865.69
,7,627,107,3,3,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,8/4/2022 8:05,8/14/2022 15:42,612.16,224.3,0,0,0,0
,5,620,130,2,0,none,8/4/2022 9:02,8/16/2022 7:22,1509.01,204.15,0,0,0,0
,2,566,90,7,4,Nulla ac enim. In tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.,8/4/2022 9:17,8/16/2022 1:47,1319.28,437.66,0,0,0,0
,4,173,26,4,5,Nulla nisl. Nunc nisl. Duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa.,8/4/2022 9:39,8/11/2022 19:43,983.01,406.42,0,0,0,0
,3,639,123,2,0,none,8/4/2022 12:15,8/17/2022 10:44,697.27,401.65,0,0,0,0
,8,523,193,1,0,none,8/4/2022 12:39,8/8/2022 20:25,1597.12,328.32,114.3,0,118.26,0
,6,218,2,4,0,none,8/4/2022 12:51,8/11/2022 20:40,893.25,441.66,0,0,0,0
,3,52,84,3,4,none,8/4/2022 13:31,8/5/2022 0:27,337.61,403.27,0,0,0,0
,7,657,60,2,0,none,8/4/2022 13:38,8/7/2022 4:44,719.55,290.81,0,0,0,0
,2,573,6,6,0,In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus aliquet at feugiat non pretium quis lectus.,8/4/2022 14:25,8/4/2022 20:38,502.41,417.3,0,0,78.38,0
,3,427,71,3,0,none,8/4/2022 15:24,8/6/2022 21:01,886.41,250.81,0,0,0,0
,7,446,184,1,0,none,8/4/2022 15:52,8/16/2022 18:39,903.03,388.23,0,0,0,0
,3,526,58,4,2,Vestibulum ac est lacinia nisi venenatis tristique.,8/4/2022 17:15,8/5/2022 8:54,879.44,495.17,0,0,0,0
